,MMP,X,Y,Z,Yeo7,YeoDesc7,Yeo17,YeoDesc17
0,L_V1_ROI,-12.458845138549805,-83.27485656738281,1.222948431968689,1.0,Visual,2.0,Visual_2
1,L_MST_ROI,-41.85942459106445,-66.69183349609375,4.236584663391113,3.0,DorsalAttention,5.0,Attention_1
2,L_V6_ROI,-14.271757125854492,-78.50857543945312,26.37034034729004,1.0,Visual,2.0,Visual_2
3,L_V2_ROI,-12.188632011413574,-80.32154083251953,2.7000701427459717,1.0,Visual,2.0,Visual_2
4,L_V3_ROI,-18.281103134155273,-85.69591522216797,3.0420050621032715,1.0,Visual,1.0,Visual_1
5,L_V4_ROI,-28.46216583251953,-83.51739501953125,-2.1084232330322266,1.0,Visual,1.0,Visual_1
6,L_V8_ROI,-32.91618728637695,-72.7332534790039,-13.968172073364258,1.0,Visual,1.0,Visual_1
7,L_4_ROI,-28.62421226501465,-18.70278549194336,52.254878997802734,2.0,Somatomotor,3.0,Somatomotor_1
8,L_3b_ROI,-37.48566436767578,-24.39404296875,50.94643783569336,2.0,Somatomotor,3.0,Somatomotor_1
9,L_FEF_ROI,-39.081817626953125,-5.315647602081299,47.38441467285156,3.0,DorsalAttention,6.0,Attention_2
10,L_PEF_ROI,-46.28544616699219,-1.1093412637710571,36.871150970458984,3.0,DorsalAttention,12.0,CentralExecutive_2
11,L_55b_ROI,-46.224464416503906,-0.5670541524887085,45.49546432495117,2.0,Somatomotor,17.0,DMN_4
12,L_V3A_ROI,-15.871011734008789,-89.02558898925781,22.368223190307617,1.0,Visual,2.0,Visual_2
13,L_RSC_ROI,-7.48812198638916,-35.349212646484375,21.115991592407227,7.0,Default,11.0,CentralExecutive_1
14,L_POS2_ROI,-10.65531063079834,-69.13932037353516,35.25272750854492,6.0,Frontoparietal,11.0,CentralExecutive_1
15,L_V7_ROI,-22.86566925048828,-81.5809097290039,26.904829025268555,1.0,Visual,1.0,Visual_1
16,L_IPS1_ROI,-22.326290130615234,-71.51317596435547,32.16506576538086,3.0,DorsalAttention,5.0,Attention_1
17,L_FFC_ROI,-40.9415397644043,-56.508636474609375,-18.58843421936035,1.0,Visual,5.0,Attention_1
18,L_V3B_ROI,-27.2375431060791,-80.29450988769531,14.626145362854004,1.0,Visual,1.0,Visual_1
19,L_LO1_ROI,-37.665443420410156,-83.40371704101562,2.3184618949890137,1.0,Visual,1.0,Visual_1
20,L_LO2_ROI,-42.52864074707031,-81.1231689453125,-5.9898200035095215,1.0,Visual,1.0,Visual_1
21,L_PIT_ROI,-40.524166107177734,-79.58631896972656,-12.674479484558105,1.0,Visual,1.0,Visual_1
22,L_MT_ROI,-44.47953796386719,-72.806884765625,6.451810359954834,1.0,Visual,5.0,Attention_1
23,L_A1_ROI,-42.79494094848633,-25.41253662109375,9.034850120544434,2.0,Somatomotor,4.0,Somatomotor_2
24,L_PSL_ROI,-56.62461853027344,-46.351966857910156,20.829113006591797,4.0,VentralAttention,14.0,DMN_1
25,L_SFL_ROI,-9.253968238830566,16.891876220703125,59.80933380126953,7.0,Default,17.0,DMN_4
26,L_PCV_ROI,-8.146778106689453,-51.074127197265625,48.009483337402344,7.0,Default,11.0,CentralExecutive_1
27,L_STV_ROI,-59.489830017089844,-46.41963577270508,13.87563419342041,7.0,Default,14.0,DMN_1
28,L_7Pm_ROI,-8.071416854858398,-64.9926986694336,48.347633361816406,6.0,Frontoparietal,11.0,CentralExecutive_1
29,L_7m_ROI,-6.249691486358643,-61.43703842163086,34.17903137207031,7.0,Default,16.0,DMN_3
30,L_POS1_ROI,-11.736577987670898,-57.96616744995117,13.131040573120117,7.0,Default,15.0,DMN_2
31,L_23d_ROI,-4.4782395362854,-20.54202651977539,36.89122772216797,7.0,Default,16.0,DMN_3
32,L_v23ab_ROI,-6.196599006652832,-55.9008903503418,18.8604793548584,7.0,Default,16.0,DMN_3
33,L_d23ab_ROI,-4.668032169342041,-39.867435455322266,30.346168518066406,7.0,Default,16.0,DMN_3
34,L_31pv_ROI,-9.93381118774414,-45.7161865234375,31.081809997558594,7.0,Default,16.0,DMN_3
35,L_5m_ROI,-7.107743263244629,-38.95058822631836,61.359596252441406,2.0,Somatomotor,3.0,Somatomotor_1
36,L_5mv_ROI,-15.585016250610352,-37.13127899169922,48.78868865966797,4.0,VentralAttention,7.0,Salience_1
37,L_23c_ROI,-12.130829811096191,-28.786500930786133,40.55099868774414,4.0,VentralAttention,7.0,Salience_1
38,L_5L_ROI,-13.999144554138184,-45.42558288574219,68.04890441894531,2.0,Somatomotor,3.0,Somatomotor_1
39,L_24dd_ROI,-9.48557186126709,-17.84766960144043,49.11955642700195,2.0,Somatomotor,3.0,Somatomotor_1
40,L_24dv_ROI,-11.136577606201172,-3.158719539642334,43.89016342163086,2.0,Somatomotor,7.0,Salience_1
41,L_7AL_ROI,-18.722200393676758,-52.603553771972656,62.47719955444336,3.0,DorsalAttention,6.0,Attention_2
42,L_SCEF_ROI,-8.44790267944336,3.2872629165649414,55.59602355957031,4.0,VentralAttention,7.0,Salience_1
43,L_6ma_ROI,-16.04803466796875,3.419400453567505,64.44471740722656,4.0,VentralAttention,7.0,Salience_1
44,L_7Am_ROI,-9.979933738708496,-57.63234329223633,58.54928970336914,3.0,DorsalAttention,6.0,Attention_2
45,L_7PL_ROI,-12.657326698303223,-71.44571685791016,50.29541778564453,3.0,DorsalAttention,5.0,Attention_1
46,L_7PC_ROI,-33.618839263916016,-49.129730224609375,57.2281379699707,3.0,DorsalAttention,6.0,Attention_2
47,L_LIPv_ROI,-27.63136863708496,-56.45476150512695,51.80422592163086,3.0,DorsalAttention,5.0,Attention_1
48,L_VIP_ROI,-20.718631744384766,-62.86648178100586,58.49795150756836,3.0,DorsalAttention,5.0,Attention_1
49,L_MIP_ROI,-21.746952056884766,-63.59498977661133,42.836429595947266,3.0,DorsalAttention,5.0,Attention_1
50,L_1_ROI,-42.603824615478516,-25.66039276123047,54.561458587646484,2.0,Somatomotor,3.0,Somatomotor_1
51,L_2_ROI,-35.07748031616211,-34.38946533203125,51.22370147705078,2.0,Somatomotor,3.0,Somatomotor_1
52,L_3a_ROI,-34.42818832397461,-21.383251190185547,40.88192367553711,2.0,Somatomotor,3.0,Somatomotor_1
53,L_6d_ROI,-32.503841400146484,-14.568994522094727,62.87589645385742,2.0,Somatomotor,3.0,Somatomotor_1
